Part No,Description,# Models,Fits these models
04611-KPL-900ZZ,"FENDER, FR.",2,"SCV100CM2, SCV100CM5"
04611-KRB-901ZZ,"FENDER, FR.",2,"SC1504, SC1505"
04644-KRB-900ZZ,"COVER COMP., R. FR.",2,"SC1504, SC1505"
04645-KRB-900ZZ,"COVER COMP., L. FR.",2,"SC1504, SC1505"
04834-KRB-900ZZ,"COVER COMP., BODY",2,"SC1504, SC1505"
06113-KRP-600,GASKET SHEET KIT A,1,SCV100F3
06113-KRP-982,GASKET SHEET KIT A,1,SCV100F9
06113-KRP-983,GASKET SHEET KIT A  (COMPONENT PARTS),1,SCV100FA
06114-KRP-870,WASHER O-RING KIT A,1,SCV100F3
06114-KRP-980,WASHER O-RING KIT A (COMPONENT PARTS),2,"SCV100F9, SCV100FA"
06115-KRP-980,GASKET SHEET KIT B,1,SCV100F3
06115-KRP-981,GASKET SHEET KIT B,1,SCV100F9
06115-KRP-982,GASKET SHEET KIT B (COMPONENT PARTS),1,SCV100FA
06116-KPL-901,WASHER O-RING KIT B,1,SCV100F3
06116-KRP-980,WASHER O-RING KIT B (COMPONENT PARTS),2,"SCV100F9, SCV100FA"
06160-KPP-T00,"FILTER KIT, FUEL",2,"CBR150RC, CBR150RG"
06160-KWF-305,"FILTER KIT, FUEL",2,"CBF1259, CBF125M9/MF"
06160-KYJ-900,"FILTER KIT, FUEL",12,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
06170-KWF-960,"STRAINER ASSY., FUEL",3,"CBF1259, CBF125M9/MF, CBF125MB"
06179-K14-960,"CABLE SET, THROTTLE",20,"CB110AMF, CB110AMH, CB110BK, CB110C2H, CB110C2K, CB110C2MH, CB110C2MK, CB110CF, CB110CG, CB110CMDK, CB110CMF, CB110CMG, CB110CMH, CB110J, CBF110BK, CBF110H, CBF110J, CBF110SBK, CBF110SH, CBF110SJ"
06179-K23-900,"CABLE SET, THROTTLE",11,"CB110AMF, CB110AMH, CB110CE, CB110CF, CB110CG, CB110CME, CB110CMF, CB110CMG, CB110E, CB110J, CB110ME"
06179-K23-930,"CABLE SET, THROTTLE",8,"CB110C2F, CB110C2G, CB110C2MG, CB110CE, CB110CG, CB110CME, CB110CMF, CB110CMG"
